customer_id,natural_key,first_name,last_name,email,phone,address_line1,address_line2,city,state_region,postcode,country_code,latitude,longitude,birth_date,join_ts,is_vip,gdpr_consent
131,CUST-0S0R2SDS,Timothy,Alvarado,jhernandez@example.net,0287-7217,Unit 54 838 Powell Esplanade,,St. Seanshire,WA,2477,AU,-33.872563,124.991651,2007-05-24,2024-01-13 13:08:49,False,True
132,CUST-8B25SQ8C,Leslie,Hooper,garciarobert@example.net,0401-994-883,503/58 Moran Junction,,Wilsonbury,ACT,2955,AU,-28.170580,130.254519,1966-07-19,2024-01-18 21:23:06,True,True
133,CUST-ROYR6CCV,Maria,Brandt,amy51@example.org,08-2614-9331,Unit 73 5 Katherine Bend,,St. Stephenshire,NT,2920,AU,-29.933894,127.571414,1997-04-08,2025-03-09 14:38:47,True,True
134,CUST-CJWTL9TQ,Adam,Fitzgerald,eroberson@example.net,03-2169-9586,Unit 46 47 Devon Ronde,,Meganside,TAS,9333,AU,-29.886953,119.063950,2008-02-14,2024-11-30 14:13:33,False,True
135,CUST-VDZ4X1ZH,Claudia,Roberts,samantha22@example.net,0451-587-996,08/062 Ellen Deviation,,Karenburgh,SA,2720,AU,-30.625140,134.068560,1981-12-07,2024-03-29 15:49:08,True,True
136,CUST-QIMQODPX,Hannah,Phillips,howardshaun@example.net,+61.483.863.840,65/0 Julia Deviation,,Greerstad,QLD,2664,AU,-33.243541,115.253299,1961-01-06,2024-06-16 18:04:25,False,True
137,CUST-NF7C3DD0,Shane,Lucero,lopezglenn@example.net,60648422,Apt. 572 259 Kim Rue,,Tracyshire,TAS,2358,AU,-33.730694,130.622480,1970-08-04,2024-01-31 12:11:50,False,True
138,CUST-3UVULEMX,Jeffrey,White,hartmanerik@example.net,0461-533-555,Unit 98 80 Elizabeth Park,,South Susan,TAS,2981,AU,-34.229300,124.103956,2004-10-27,2025-08-03 06:04:33,False,True
139,CUST-15Z8VMUH,Paul,Fernandez,angel85@example.net,0477 043 581,880 Jason Run,,Port Mary,QLD,4612,AU,-32.715956,125.176498,1961-02-06,2024-09-07 01:40:26,False,True
140,CUST-XID4N1U3,Andrew,Love,millerbrian@example.com,0419-346-676,061/0 Katelyn Riviera,,East Michaelhaven,NSW,2924,AU,-29.471352,133.278953,1997-08-15,2024-08-17 11:42:59,False,True
141,CUST-493WXA73,Catherine,Campbell,qjames@example.org,+61383268424,Apt. 882 009 Medina Byway,,Jasonstad,QLD,0282,AU,-33.805991,128.466514,1980-01-09,2025-06-12 01:40:19,False,True
142,CUST-JGZLMA5U,Eugene,Walker,james29@example.org,0478-141-413,523/491 Louis Parklands,,Christinaport,NT,5955,AU,-31.726991,126.061828,1978-01-01,2024-10-25 20:31:39,False,True
143,CUST-OFWB0HPM,Susan,Jackson,john36@example.com,(03)57775478,914 Patricia Dell,,Jessicaland,NSW,2080,AU,-25.022129,130.517719,2009-01-12,2024-09-08 05:28:55,True,True
144,CUST-NZ1UDBFW,Lisa,Riley,rebeccaarnold@example.net,0472-563-942,Flat 65 0 Melanie Round,,West Sean,NT,5927,AU,-999.000000,-999.000000,1969-04-29,2024-07-29 19:17:23,False,True
145,CUST-YJXRPJ1E,Sheila,Williams,qhall@example.com,0238567700,Flat 84 4 Nicholas Lane,,Brianaland,SA,2983,AU,-32.201747,115.878005,2006-08-18,2025-02-26 13:33:43,False,True
146,CUST-PKYRYBOV,Zachary,Gomez,tommy79@example.org,0427 231 843,259 Donna Meander,,Jenniferfort,WA,2913,AU,-31.056487,126.837915,1971-09-23,2024-08-30 10:37:10,False,True
147,CUST-AKHEJLA0,Brittany,Holland,cjohnson@example.org,0492.280.920,28 Greene Right Of Way,,New Staceyborough,WA,7772,AU,-31.819423,120.439117,1978-03-09,2024-05-19 21:17:18,True,True
148,CUST-GNZS43C5,Jeffrey,Jenkins,laurahoover@example.org,+61 484 257 991,62 Allen Quays,,Serranoville,NT,2919,AU,-31.417126,130.406735,2001-07-26,2024-09-28 04:21:57,True,True
149,CUST-BA75UUZP,Carol,Rich,davisdonna@example.net,0406-865-086,65 Ronald Fire Track,,Cannonland,SA,7864,AU,-32.849792,132.131465,1982-04-08,2024-12-30 14:25:36,False,True
150,CUST-EAL2W37D,Jacob,Fletcher,lanedavid@example.org,+61 3 5651 2694,95/4 Fischer Mall,,Whiteside,WA,2749,AU,-30.956078,124.044023,1982-06-01,2024-04-06 16:49:20,True,True
151,CUST-4IVSOLML,Maxwell,Thornton,melissahopkins@example.net,0821386589,601 Thomas Roadway,,Davisview,QLD,2971,AU,-32.777119,118.962661,1967-07-16,2025-08-19 21:20:23,False,True
152,CUST-GSES6M03,Chelsea,Ramsey,hmendez@example.com,+61 402 770 384,988 Christina Street,,Lake Johntown,NT,2446,AU,-30.565687,117.575831,1989-09-29,2024-05-05 01:33:16,False,True
153,CUST-3IFHV1XG,Michael,Foster,aprilmclaughlin@example.org,8489.5543,69 Jose Lower,,East Wesleymouth,NSW,3489,AU,-30.038736,122.654589,1991-10-03,2024-08-07 06:48:50,False,True
154,CUST-1R11Q7UW,John,Ramos,xhart@example.org,(08).7907.1416,3 Gutierrez Hill,,New Johnland,VIC,2951,AU,-28.527216,124.977832,2002-12-22,2024-03-03 03:11:37,False,True
155,CUST-W5WFCPKJ,Angela,White,michael94@example.org,+61.437.333.433,952 David Bypass,,Austinside,ACT,2915,AU,-28.692456,131.043362,1994-04-25,2025-12-31 13:04:29,False,True
156,CUST-CSLQC3C5,Christine,Vasquez,travis84@example.com,0308678085,Suite 718 50 Emily Laneway,,Lake Michaelview,NT,9434,AU,-32.295643,115.521259,1962-08-18,2024-10-14 02:07:59,False,True
157,CUST-4WSQT26Q,Thomas,Austin,ivan63@example.com,(07)64729293,4 Angela Laneway,,West Lauren,NT,2910,AU,-33.403752,119.957141,2007-11-17,2024-02-27 07:59:18,False,False
158,CUST-3XLRFCD6,Gregory,Porter,kristen44@example.net,0406.120.347,54 Ward Ridge,,Mauricechester,NSW,2969,AU,-33.262880,119.731023,1992-03-09,2025-08-28 01:01:37,False,True
159,CUST-MZSGIPPS,James,Johnston,tiffanymitchell@example.com,+61.487.716.947,569 Sweeney Broadway,,West Matthewmouth,TAS,2924,AU,-26.633032,131.208023,2008-08-20,2024-11-12 06:23:30,False,True
160,CUST-FNKOMV2X,Catherine,Foster,xnorman@example.net,0487.622.023,Flat 32 11 Sharon Piazza,,North Kellihaven,NSW,2549,AU,-34.993165,133.357924,1971-09-15,2024-12-14 06:27:40,False,True
